Tone,Identity,Feature,Coefficient,SE,t,p,CI_lower,CI_upper
Weighted_Constructive,Full Data,const,61.5235688553568,0.32256458377548514,190.73256008222867,0.0,60.89135388846869,62.155783822244906
Weighted_Constructive,Full Data,disclosed_reviewer,1.661068436331626,0.13248265320583763,12.538007023084239,4.6248050323499574e-36,1.4014072074718742,1.9207296651913777
Weighted_Constructive,Full Data,gender_male,-0.21292956195396245,0.11031137519281421,-1.9302593370972034,0.0535747126708381,-0.4291358844169635,0.003276760509038551
Weighted_Constructive,Full Data,race_white,0.07857342602317918,0.11663799978863161,0.6736520359194081,0.500532562323774,-0.15003285279132922,0.3071797048376876
Weighted_Constructive,Full Data,region_west,-1.4218415199545542,0.1244221515056108,-11.427559343325104,3.0454874699628696e-30,-1.6657044557845375,-1.177978584124571
Weighted_Constructive,Full Data,top_100,-0.6299520858046523,0.11307650104743833,-5.571025632818017,2.5324406227299937e-08,-0.8515779553554371,-0.40832621625386756
Weighted_Constructive,Full Data,academic_age,-0.058063215435581635,0.005951055000063654,-9.75679361641937,1.725235979416302e-22,-0.0697270689057234,-0.04639936196543987
Weighted_Constructive,Full Data,avg_c2,0.0008297968923311188,0.0030353990831679537,0.2733732433842225,0.7845663183954781,-0.005119475989383971,0.006779069774046208
Weighted_Constructive,Full Data,work_count,-0.00015487395257750362,0.0007861209811938782,-0.19701032828598122,0.8438194553773587,-0.001695642763208794,0.0013858948580537866
Weighted_Constructive,Full Data,source_nature,-6.746282657262421,0.151750993730292,-44.456266752708274,0.0,-7.043709139591957,-6.448856174932885
Weighted_Constructive,Full Data,pub_year_scaled,0.44554896901742613,0.03507993895643029,12.700961925013706,5.84073490215505e-37,0.37679355208295917,0.5143043859518931
Weighted_Constructive,Full Data,days_received_to_accepted,0.002643847081509814,0.00044985020089279704,5.877172170341798,4.173340958977515e-09,0.0017621568893218238,0.0035255372736978045
Weighted_Constructive,Full Data,total_authors,-0.041582913696175186,0.01413221396356375,-2.942420331547905,0.003256575677408966,-0.06928154408657419,-0.013884283305776186
Weighted_Constructive,Full Data,word_count,0.0007388070883642599,0.0001544651984681933,4.783000285442234,1.7269788031983194e-06,0.0004360608625017695,0.0010415533142267503
Weighted_Constructive,Full Data,field_Arts and Humanities,0.8567403113946599,1.0267399395479833,0.8344277634430343,0.40403997766509436,-1.1556329916082195,2.8691136143975395
Weighted_Constructive,Full Data,field_Agricultural and Biological Sciences,2.3476933603067227,0.24804952190161475,9.464615542528243,2.946429360744928e-21,1.8615252309971786,2.833861489616267
Weighted_Constructive,Full Data,"field_Biochemistry, Genetics and Molecular Biology",-1.20069571670461,0.17027137612215,-7.05165920455855,1.7679678725518677e-12,-1.5344214815020973,-0.8669699519071227
Weighted_Constructive,Full Data,"field_Business, Management and Accounting",4.069478953712126,0.5280293463805331,7.706918150680566,1.2889240692875098e-14,3.0345604520260565,5.104397455398196
Weighted_Constructive,Full Data,field_Chemistry,-0.7947052502352718,0.46556179155808575,-1.7069812528550692,0.08782553695496277,-1.7071895942670636,0.11777909379651996
Weighted_Constructive,Full Data,field_Computer Science,0.0058976341197391965,0.40000115989945234,0.014744042545330807,0.988236382299987,-0.7780902330574347,0.7898855012969132
Weighted_Constructive,Full Data,field_Decision Sciences,0.010268519295812295,0.6330524076876692,0.016220646460092924,0.9870583641366852,-1.2304914000983866,1.2510284386900112
Weighted_Constructive,Full Data,field_Dentistry,3.221084453331197,0.8524802727280847,3.778485621753062,0.00015778496066907842,1.550253821253268,4.891915085409126
Weighted_Constructive,Full Data,field_Earth and Planetary Sciences,1.6865681455809172,0.35064468332029824,4.809906511659019,1.5100090398739064e-06,0.99931719490268,2.3738190962591545
Weighted_Constructive,Full Data,"field_Economics, Econometrics and Finance",2.2489005982927743,0.406916457081565,5.5266887321836435,3.263311809803074e-08,1.4513589976962682,3.0464421988892805
Weighted_Constructive,Full Data,field_Engineering,0.08873648553008168,0.2692895924573269,0.3295206647993399,0.7417621770779493,-0.4390614170977481,0.6165343881579115
Weighted_Constructive,Full Data,field_Environmental Science,2.5692623898537694,0.2230130628377491,11.520681152758348,1.037872698930214e-30,2.132164818609813,3.0063599610977256
Weighted_Constructive,Full Data,field_Health Professions,2.401864809212975,0.29179106057507775,8.231454399182924,1.8495393147730424e-16,1.8299648394750774,2.9737647789508728
Weighted_Constructive,Full Data,field_Immunology and Microbiology,-0.18335700500194707,0.3302966946195809,-0.5551281862300452,0.5788069847516363,-0.8307266306689502,0.4640126206650561
Weighted_Constructive,Full Data,field_Materials Science,-1.4994778982157393,0.39593583649459657,-3.7871739812473453,0.0001523704133661572,-2.275497877933888,-0.7234579184975904
Weighted_Constructive,Full Data,field_Mathematics,-0.10467859990504917,0.47760765122651305,-0.21917278677640714,0.8265154531325036,-1.0407723950497823,0.8314151952396839
Weighted_Constructive,Full Data,field_Neuroscience,-1.8028199995130851,0.24112581883213796,-7.476677562961997,7.622512899807917e-14,-2.2754179201668054,-1.3302220788593648
Weighted_Constructive,Full Data,field_Nursing,2.4916477998164566,0.4694827503569964,5.307219057402638,1.1131037780575296e-07,1.5714785177539343,3.411817081878979
Weighted_Constructive,Full Data,"field_Pharmacology, Toxicology and Pharmaceutics",1.0033092742590541,1.09270179051876,0.9181912969893948,0.3585187241803519,-1.1383468810001458,3.144965429518254
Weighted_Constructive,Full Data,field_Physics and Astronomy,-3.039698206352223,0.37604200088327117,-8.083400788242772,6.298519868660301e-16,-3.7767269847578135,-2.302669427946632
Weighted_Constructive,Full Data,field_Psychology,0.7043391905996198,0.23239265124528752,3.030815246632729,0.002438944348309276,0.24885796388707893,1.1598204173121607
Weighted_Constructive,Full Data,field_Social Sciences,1.2612018004326533,0.2446624024382725,5.1548655938292365,2.538129133386725e-07,0.7816723032825945,1.740731297582712
Weighted_Constructive,Full Data,field_Veterinary,4.265549689143995,0.8738951607051646,4.881077137104218,1.0550795909698639e-06,2.55274664789803,5.978352730389961
Weighted_Constructive,Full Data,Weighted_Appreciative,-0.5772408174691616,0.004601831792186725,-125.4371831776287,0.0,-0.5862602420447589,-0.5682213928935642
Weighted_Constructive,Full Data,Weighted_Questioning,-0.5882424233799218,0.0041568923063615825,-141.51014268031273,0.0,-0.5963897825880021,-0.5800950641718415
Weighted_Constructive,Full Data,Weighted_Critical,-0.5910148429231982,0.004267295142494474,-138.49870308659195,0.0,-0.5993785877138901,-0.5826510981325063
