Tone,Identity,Feature,Coefficient,SE,t,p,CI_lower,CI_upper
Weighted_Questioning,Disclosed,const,45.13534941022287,0.7767003219307782,58.111665639615204,0.0,43.61304475245788,46.65765406798786
Weighted_Questioning,Disclosed,gender_male,0.016937359976198448,0.2010195426339669,0.08425728043287513,0.9328518768493816,-0.3770537037750906,0.4109284237274875
Weighted_Questioning,Disclosed,race_white,-0.27544581145125957,0.22082819933620249,-1.247330786010277,0.21227623362214543,-0.7082611289210483,0.15736950601852917
Weighted_Questioning,Disclosed,region_west,-0.23603226028811244,0.23295381930993223,-1.0132148122202904,0.31095756691466425,-0.692613356196631,0.2205488356204061
Weighted_Questioning,Disclosed,top_100,0.48516072633277474,0.22737499212967432,2.133747083567055,0.03286348963721735,0.03951393077353482,0.9308075218920147
Weighted_Questioning,Disclosed,academic_age,-0.031072570810642727,0.011207866117871801,-2.772389541760776,0.00556464013583876,-0.05303958474521821,-0.009105556876067244
Weighted_Questioning,Disclosed,avg_c2,-0.005158012864255844,0.0053944363845833615,-0.9561727113877574,0.3389849842742704,-0.01573091389493169,0.005414888166420004
Weighted_Questioning,Disclosed,work_count,-0.0013120520492676938,0.001585636341406275,-0.8274608843185671,0.40797588388569006,-0.00441984217100185,0.0017957380724664624
Weighted_Questioning,Disclosed,source_nature,-2.244922196501408,0.39297491818570446,-5.712634808516064,1.1124023063873992e-08,-3.015138882972963,-1.4747055100298527
Weighted_Questioning,Disclosed,pub_year_scaled,-0.027156404089454352,0.07116040066289575,-0.3816224169127559,0.70274145418792,-0.16662822651417022,0.11231541833526151
Weighted_Questioning,Disclosed,days_received_to_accepted,0.0035943905005907445,0.0008496058817294691,4.230656328877991,2.3301044070759834e-05,0.0019291935713475884,0.005259587429833901
Weighted_Questioning,Disclosed,total_authors,0.06747968805675493,0.028265776508868336,2.3873282956009825,0.016971328451101365,0.012079784104314685,0.12287959200919518
Weighted_Questioning,Disclosed,word_count,0.000328592949063206,0.00028624578055140505,1.1479398872892594,0.25099338042464847,-0.00023243847154410374,0.0008896243696705158
Weighted_Questioning,Disclosed,field_Arts and Humanities,-2.79123457763458,1.6271408497869098,-1.7154228400080545,0.08626773084306386,-5.9803720409908205,0.3979028857216611
Weighted_Questioning,Disclosed,field_Agricultural and Biological Sciences,-0.5982888090629064,0.44031915051570164,-1.3587617262664835,0.17422210513196945,-1.4612984857769526,0.26472086765114
Weighted_Questioning,Disclosed,"field_Biochemistry, Genetics and Molecular Biology",-1.770132252613894,0.3681382249871326,-4.808335925115532,1.5219186682144371e-06,-2.4916699149211774,-1.0485945903066107
Weighted_Questioning,Disclosed,"field_Business, Management and Accounting",0.5928559294424407,0.8001450179263423,0.7409356006226065,0.45873248848427395,-0.9753994881023462,2.1611113469872274
Weighted_Questioning,Disclosed,field_Chemistry,-1.546915296883266,1.4288364209232807,-1.0826398839159528,0.27896829697108694,-4.347383221692009,1.2535526279254772
Weighted_Questioning,Disclosed,field_Computer Science,-1.6852210176261366,0.7204802711930843,-2.3390245160155225,0.01933416472332423,-3.097336400736233,-0.2731056345160403
