Tone,Identity,Feature,Coefficient,SE,t,p,CI_lower,CI_upper
Weighted_Critical,Disclosed,const,53.957456897501466,0.7336329972863191,73.54829607867704,0.0,52.519562644950106,55.395351150052825
Weighted_Critical,Disclosed,gender_male,0.4179332842496559,0.213395280546083,1.9584935673373651,0.050172125120256185,-0.000313780091487581,0.8361803485907995
Weighted_Critical,Disclosed,race_white,-0.28800638000912787,0.23384002183355992,-1.2316385268477348,0.2180841424927349,-0.7463244009469652,0.17031164092870948
Weighted_Critical,Disclosed,region_west,-1.288942525243759,0.24674325194034968,-5.223820773649208,1.752684305178601e-07,-1.7725504124751372,-0.8053346380123807
Weighted_Critical,Disclosed,top_100,-0.4636076287882373,0.23054482435125911,-2.0109218677660823,0.04433371015187638,-0.915467181338818,-0.011748076237656613
Weighted_Critical,Disclosed,academic_age,-0.04358846949637713,0.011809681349296091,-3.690909873616124,0.0002234533080026619,-0.06673501960989187,-0.020441919382862404
Weighted_Critical,Disclosed,avg_c2,0.002498393762190254,0.0063216205671299645,0.39521412834882186,0.6926848667339458,-0.009891754873312147,0.014888542397692654
Weighted_Critical,Disclosed,work_count,-0.002488558590289551,0.0016462818970893937,-1.5116236136042631,0.13062964096571697,-0.005715211816985038,0.0007380946364059365
Weighted_Critical,Disclosed,source_nature,-2.8390482199596834,0.41923260860650335,-6.772011913377777,1.2700367839196032e-11,-3.6607290339732064,-2.0173674059461604
Weighted_Critical,Disclosed,pub_year_scaled,0.05047202150448084,0.0752062465962782,0.6711147516166376,0.5021474301681172,-0.09692951323666245,0.19787355624562414
Weighted_Critical,Disclosed,days_received_to_accepted,0.008136674064858995,0.0009220977422352523,8.824090649148458,1.1035281252820202e-18,0.006329395699852202,0.009943952429865788
Weighted_Critical,Disclosed,total_authors,-0.029547083433782553,0.029160567068300062,-1.0132547616298815,0.31093848959506276,-0.08670074465641542,0.02760657778885032
Weighted_Critical,Disclosed,word_count,-0.0022402612960050186,0.00029217078067482125,-7.667643187421857,1.751854092311104e-14,-0.0028129055034626193,-0.0016676170885474178
Weighted_Critical,Disclosed,field_Arts and Humanities,3.4094970781969303,2.1559046714770314,1.5814693123054697,0.11377077024929845,-0.815998431999708,7.634992588393569
Weighted_Critical,Disclosed,field_Agricultural and Biological Sciences,0.5778914758269211,0.4847500607681357,1.1921431735587478,0.2332051108647254,-0.3722011847822274,1.5279841364360696
Weighted_Critical,Disclosed,"field_Biochemistry, Genetics and Molecular Biology",-1.076461996650965,0.393228621817135,-2.737496552709119,0.006190876891692816,-1.847175933102871,-0.305748060199059
Weighted_Critical,Disclosed,"field_Business, Management and Accounting",2.908730539162507,0.9365178502042384,3.105899731145715,0.001897010293174349,1.0731892818833224,4.744271796441692
Weighted_Critical,Disclosed,field_Chemistry,0.6082321107845372,1.6215557144229595,0.3750917130842959,0.7075922598724126,-2.5699586884095806,3.786422909978655
Weighted_Critical,Disclosed,field_Computer Science,1.0380121719879862,0.8470320720400639,1.2254697386935416,0.22039828505542902,-0.6221401829608755,2.698164526936848
Weighted_Critical,Disclosed,field_Decision Sciences,0.22206422111617916,1.0673447300600616,0.20805295127440518,0.8351876226931609,-1.8698930088901675,2.314021451122526
Weighted_Critical,Disclosed,field_Dentistry,3.3882369904450567,1.5661525462862478,2.163414412267465,0.03050932006372734,0.31863440542831123,6.4578395754618025
Weighted_Critical,Disclosed,field_Earth and Planetary Sciences,-0.11877927935666781,0.6390785764398597,-0.18586021145999956,0.8525543851277158,-1.3713502724699207,1.1337917137565852
Weighted_Critical,Disclosed,"field_Economics, Econometrics and Finance",0.7411296410926514,0.7268651270988962,1.0196247054122525,0.3079064834890628,-0.6834998296393139,2.1657591118246167
Weighted_Critical,Disclosed,field_Engineering,1.3394317255097143,0.7283068601483311,1.8391035411048002,0.06589995828688024,-0.08802349007446453,2.766886941093893
Weighted_Critical,Disclosed,field_Environmental Science,1.2785753626646532,0.46856602941448555,2.728698374191457,0.006358483335450632,0.360202820633326,2.1969479046959806
Weighted_Critical,Disclosed,field_Health Professions,1.1870840022514169,0.4892756445019923,2.426207017640714,0.015257564182618196,0.22812136051488907,2.146046643987945
Weighted_Critical,Disclosed,field_Immunology and Microbiology,-1.0221202291000702,0.7553856357126592,-1.3531104918824193,0.17602033431528863,-2.5026488695357756,0.45840841133563504
Weighted_Critical,Disclosed,field_Materials Science,-0.9016394495226656,1.0680150208832095,-0.8442198207821484,0.39854658061817827,-2.99491042540155,1.1916315263562187
Weighted_Critical,Disclosed,field_Mathematics,-0.013277473711666779,0.8660320538448566,-0.01533138831607882,0.9877678011681859,-1.7106691087048385,1.684114161281505
Weighted_Critical,Disclosed,field_Neuroscience,-1.5904176250204933,0.494438522929345,-3.216613494429849,0.001297132170281495,-2.5594993225311913,-0.6213359275097955
Weighted_Critical,Disclosed,field_Nursing,1.3154125283554587,0.7283499578427058,1.8060171682463868,0.0709156579053487,-0.11212715715751131,2.7429522138684286
Weighted_Critical,Disclosed,"field_Pharmacology, Toxicology and Pharmaceutics",0.6895696742738334,1.5912077732730932,0.433362434407543,0.6647514869114945,-2.4291402532616053,3.808279601809272
Weighted_Critical,Disclosed,field_Physics and Astronomy,-2.8741211206652,1.1299376336282652,-2.5436104039090255,0.010971337906884303,-5.088758187353015,-0.6594840539773856
Weighted_Critical,Disclosed,field_Psychology,1.05676046562236,0.39133424469278555,2.700403759583992,0.006925537086899335,0.28975944010731547,1.8237614911374043
Weighted_Critical,Disclosed,field_Social Sciences,1.1825547882604672,0.4521218803317373,2.615566376466422,0.008907960526593272,0.2964121861877339,2.0686973903332007
Weighted_Critical,Disclosed,field_Veterinary,3.6038877099249933,1.3836533016994368,2.604617576887657,0.009197685677559082,0.8919770715041637,6.315798348345822
Weighted_Critical,Disclosed,Weighted_Appreciative,-0.5825825453504632,0.007795901220966898,-74.72933902543824,0.0,-0.5978622309705901,-0.5673028597303362
Weighted_Critical,Disclosed,Weighted_Constructive,-0.4626279657192696,0.00826673025992921,-55.96262986367614,0.0,-0.4788304592986383,-0.4464254721399009
Weighted_Critical,Disclosed,Weighted_Questioning,-0.4865698536012445,0.009071355542549299,-53.638053466098086,0.0,-0.5043493837555989,-0.4687903234468901
